home_team_canonical,away_team_canonical,pj_home_current,pj_away_current,w_curr_home,w_curr_away,gf_home_obs,ga_home_obs,gf_away_obs,ga_away_obs,xg_blend,xg_att_home,xg_def_home,xg_att_away,xg_def_away,eff_gf_home,eff_gc_home,eff_gf_away,eff_gc_away,prior_rate_att_home,rate_att_home_smooth,prior_rate_def_away,rate_def_away_smooth,att_home_rel_curr_eb,def_home_rel_curr_eb,att_away_rel_curr_eb,def_away_rel_curr_eb,att_home_final,def_home_final,att_home_rel_blend,def_away_rel_blend,att_away_rel_blend,def_home_rel_blend,lambda_home_base,lambda_away_base,lambda_home_final,lambda_away_final,lambda_total_base,lambda_total_final,mu_home_final,mu_away_final
mazatlan,leon,4,4,0.4,0.4,4,9,2,6,0.4,,,,,4,9,2,6,1.3721136706430825,1.1860568353215413,2.026143790849673,1.792302106027596,0.8593381661942301,1.5812317420241582,0.5755654196314138,1.2985833049410849,0.8284120170321021,1.439158957936245,0.8284120170321021,1.2462063361962568,0.6893859201082789,1.439158957936245,1.270991363780571,1.1885984812898314,1.270991363780571,1.1885984812898314,2.4595898450704023,2.4595898450704023,1.38019801980198,1.198019801980198
necaxa,pumas,4,4,0.4,0.4,4,7,7,5,0.4,,,,,4,7,7,5,1.4862745098039216,1.2431372549019608,1.5309714795008913,1.4060952663893842,0.9006948546994121,1.1543022661662268,1.3062039021719383,1.0187634283022082,0.8932212603815939,1.0114936272217978,0.8932212603815939,0.9512342641774356,1.209202260575248,1.0114936272217978,0.9510619159597123,1.4652984757611947,0.9510619159597123,1.4652984757611947,2.416360391720907,2.416360391720907,1.38019801980198,1.198019801980198
cruz azul,atletico de san luis,4,4,0.4,0.4,7,2,6,8,0.4,,,,,7,2,6,8,1.9829991087344028,1.8664995543672014,1.723937908496732,1.8466321713870733,1.3523418578987616,0.6648802820513241,1.1606502862853132,1.3379472690824563,1.2514000092078772,0.774620429808132,1.2514000092078772,1.1533507505654637,1.088564980557132,0.774620429808132,2.3705325214032125,1.0101998559079486,2.3705325214032125,1.0101998559079486,3.380732377311161,3.380732377311161,1.38019801980198,1.198019801980198
queretaro,america,4,4,0.4,0.4,5,4,4,1,0.4,,,,,5,4,4,1,1.235190136660725,1.2425950683303624,1.3085407239819005,0.8380781799899447,0.9003020222479671,0.9724411852004627,1.003328923750047,0.6072158979841064,0.7965091014576922,1.0343903866327486,0.7965091014576922,0.7065115313028572,1.09730774447739,1.0343903866327486,0.5879593170296168,1.3598058854442998,0.5879593170296168,1.3598058854442998,1.9477652024739167,1.9477652024739167,1.38019801980198,1.198019801980198
atlas,guadalajara,4,5,0.4,0.45454545454545453,7,4,7,7,0.4,,,,,7,4,7,7,1.63411490470314,1.6920574523515701,1.0457219251336898,1.222860962566845,1.2259526735115394,0.9903958425065214,1.132499739467816,0.8860039972686611,1.072027065252739,1.0445017117364233,1.072027065252739,0.7396703576194794,1.10825764984202,1.0445017117364233,1.1239728175340107,1.386800183058436,0.9890960794299294,1.2203841610914237,2.5107730005924465,2.209480240521353,1.38019801980198,1.198019801980198
pachuca,puebla,4,4,0.4,0.4,7,2,1,2,0.4,,,,,7,2,1,2,1.446613190730838,1.598306595365419,2.1883986928104573,1.4379992737835874,1.158027016728173,0.7549359936533815,0.49584508797257953,1.0418789573324414,0.9900679566335255,0.919099324740666,0.9900679566335255,1.198728931825219,0.6574838026205422,0.919099324740666,1.136807323295155,0.7239548831781419,1.136807323295155,0.7239548831781419,1.860762206473297,1.860762206473297,1.38019801980198,1.198019801980198
tigres,monterrey,4,4,0.4,0.4,6,4,7,4,0.4,,,,,6,4,7,4,2.092067736185383,1.7960338680926915,1.6498068924539513,1.361003829141084,1.3012870923770579,0.8443476383234932,1.3390399498141357,0.9860931617162805,1.2684832231745284,0.8509002142252203,1.2684832231745284,0.976570096393812,1.25941920323579,0.8509002142252203,2.287629364832923,1.2838460242550047,2.0131138410529723,1.1297845013444041,3.5714753890879276,3.1428983423973764,1.38019801980198,1.198019801980198
toluca,juarez,4,3,0.4,0.3333333333333333,7,2,4,5,0.4,,,,,7,2,4,5,2.5427139037433157,2.146356951871658,1.8588107970460912,1.786756748153807,1.5551079780418757,0.7118317281277093,1.0417350411238877,1.2945655061946522,1.5303041725521997,0.8457613519643004,1.5303041725521997,1.1727878192173926,1.0010065622376967,0.8457613519643004,3.9286360004455556,1.0142587353643386,3.9286360004455556,1.0142587353643386,4.942894735809894,4.942894735809894,1.38019801980198,1.198019801980198
tijuana,santos laguna,5,5,0.45454545454545453,0.45454545454545453,3,3,5,16,0.4,,,,,3,3,5,16,1.7716354723707664,1.1207268766092295,1.9336972667855021,2.566848633392751,0.8120044084471463,0.6869221812190942,0.8439709797155917,1.8597683785700707,0.9408535990529092,0.7978128623674838,0.9408535990529092,1.4706176921716527,0.8460077837032308,0.7978128623674838,1.8925043718947907,0.8086105234819301,1.8925043718947907,0.8086105234819301,2.701114895376721,2.701114895376721,1.38019801980198,1.198019801980198
