home_team_canonical,away_team_canonical,pick_1x2,pick_exact,ev,prob_home_win,prob_draw,prob_away_win,lambda_home_final,lambda_away_final,confidence_label,top_5_scorelines,top_5_ev,ev_confidence_gap,grid_max_goals,captured_mass,qualitative_notes
santos laguna,cruz azul,2,0-2,0.7081279128672919,0.16164239608705383,0.24208910959343363,0.5962684943195126,0.8831405588744002,1.8790887491055182,MEDIO,1-1:0.116|0-2:0.112|0-1:0.109|1-2:0.099|0-0:0.074,0-2:0.708|0-1:0.705|1-2:0.695|0-3:0.666|1-3:0.658,0.3503802444063821,6,0.9967152086886768,PERPLEXITY | Anthony Lozano (Delantero) impact=High conf=0.95 recency=11d | xPTS-REGRESION ↑ subrendimiento: 2pts vs 8.3xPTS → x1.030 | RECENT FORM: 1pts (7%) -> 0.961 | LOCAL CRISIS: 1V en 4J de local -> 0.920 | [BAJA-CAP: impacto=0.39 > 0.25 → rebajado a MEDIO] | MANUAL | Kevin Mier (Portero titular colombiano) impact=High conf=1.00 recency=0d | MANUAL | Jesús Orozco (Defensa central) impact=High conf=1.00 recency=0d | xPTS-REGRESION ↓ sobrerendimiento: 19pts vs 13.4xPTS → x0.970 | RECENT FORM: 13pts (87%) -> 1.033 | MOMENTUM: ↑ acelerando (6pts/2 vs 7pts/3) -> 1.011
pachuca,necaxa,N/A,N/A,0.45425751670420395,0.34128361933078727,0.29507509690296624,0.3636412837662465,1.2383295573614561,1.2860170606888013,SIN VENTAJA,1-1:0.141|0-0:0.093|0-1:0.091|1-0:0.087|1-2:0.082,0-1:0.454|1-2:0.446|1-1:0.436|0-2:0.430|1-0:0.428,0.01830285078033983,5,0.9961341598836184,PERPLEXITY | Andrés Micolta (Defensa) impact=Mid conf=0.90 recency=11d | MANUAL | Alan Mozo (Defensa lateral derecho - refuerzo del Clausura 2026) impact=High conf=1.00 recency=0d | xPTS-REGRESION ↓ sobrerendimiento: 14pts vs 10.4xPTS → x0.970 | RECENT FORM: 10pts (67%) -> 1.008 | MOMENTUM: ↓ desacelerando (3pts/2 vs 7pts/3) -> 0.986 | LOCAL STRONGHOLD: 3V en 4J de local -> 1.040 | xPTS-REGRESION ↓ sobrerendimiento: 9pts vs 7.8xPTS → x0.977 | MOMENTUM: ↓ desacelerando (0pts/2 vs 6pts/3) -> 0.980
atletico de san luis,mazatlan,N/A,N/A,0.5165953483304928,0.36892910429403475,0.35192791771748627,0.27914297798847876,1.0478946872402142,0.8781749642029443,SIN VENTAJA,0-0:0.165|1-1:0.153|1-0:0.134|0-1:0.109|2-0:0.080,0-0:0.517|1-1:0.505|1-0:0.503|2-0:0.449|2-1:0.439,0.013598971439288121,5,0.9989425713291553,PERPLEXITY | César Iván López (Defensa) impact=Mid conf=0.88 recency=11d | xPTS-REGRESION ↑ subrendimiento: 7pts vs 9.6xPTS → x1.030 | RECENT FORM: 3pts (20%) -> 0.983 | MOMENTUM: ↓ desacelerando (0pts/2 vs 3pts/3) -> 0.983 | LOCAL CRISIS: 1V en 4J de local -> 0.920 | xPTS-REGRESION ↑ subrendimiento: 7pts vs 7.6xPTS → x1.012 | MOMENTUM: ↑ acelerando (4pts/2 vs 3pts/3) -> 1.017
pumas,toluca,2,0-1,0.6512216465115617,0.18469017725311862,0.3091100483913401,0.5061997743555415,0.756574836830711,1.4077783653799376,ALTO,0-1:0.145|1-1:0.140|0-0:0.132|0-2:0.114|1-2:0.086,0-1:0.651|0-2:0.620|1-2:0.593|0-3:0.560|1-3:0.547,0.2022127614235032,5,0.9965756581049428,PERPLEXITY | Pablo Bennevendo (Defensa) impact=Mid conf=0.85 recency=11d | PERPLEXITY | José Juan Macías (Delantero) impact=High conf=0.99 recency=24d | xPTS-REGRESION ↓ sobrerendimiento: 16pts vs 10.1xPTS → x0.970 | RECENT FORM: 11pts (73%) -> 1.017 | TABLA-EQUILIBRIO: pumas(16pts) vs toluca(18pts) → DC-ρ=-0.14 | MOMENTUM: ↑ acelerando (6pts/2 vs 5pts/3) -> 1.020
monterrey,queretaro,1,2-0,0.76040694557203,0.6355717147682581,0.2314152836038932,0.13301300162784835,1.9357222911363219,0.7766855775553061,ALTO,2-0:0.125|1-0:0.119|1-1:0.110|2-1:0.097|3-0:0.081,2-0:0.760|1-0:0.755|2-1:0.733|3-0:0.716|3-1:0.698,0.4187966240145502,6,0.9961739214970775,PERPLEXITY | Anthony Martial (Delantero) impact=High conf=0.98 recency=12d | PERPLEXITY | Luis Sánchez (Mediocampista) impact=Mid conf=0.88 recency=16d | xPTS-REGRESION ↑ subrendimiento: 10pts vs 12.5xPTS → x1.030 | RECENT FORM: 4pts (27%) -> 0.994 | MOMENTUM: ↓ desacelerando (0pts/2 vs 4pts/3) -> 0.980 | LOCAL CRISIS: 1V en 4J de local -> 0.920 | PERPLEXITY | Lucas Rodríguez (Mediocampista) impact=Mid conf=0.85 recency=16d | PERPLEXITY | Michael Carcelén (Defensa) impact=Mid conf=0.85 recency=15d | xPTS-REGRESION ↑ subrendimiento: 6pts vs 10.0xPTS → x1.030 | MOMENTUM: ↓ desacelerando (1pts/2 vs 4pts/3) -> 0.986
puebla,tigres,2,0-2,0.8663500235249098,0.08510914589786461,0.18641455726012335,0.7284762968420121,0.6612794601292682,2.2604778303904745,ALTO,0-2:0.138|0-1:0.114|0-3:0.104|1-2:0.091|1-1:0.089,0-2:0.866|0-1:0.842|0-3:0.832|1-2:0.820|1-3:0.797,0.5912016874564002,7,0.9976677302744283,PERPLEXITY | Lucas Cavallini (Delantero) impact=Mid conf=0.85 recency=11d | xPTS-REGRESION ↑ subrendimiento: 8pts vs 8.5xPTS → x1.009 | MOMENTUM: ↑ acelerando (3pts/2 vs 2pts/3) -> 1.014 | LOCAL CRISIS: 1V en 4J de local -> 0.920 | PERPLEXITY | Marco Farfan (Defensa) impact=Mid conf=0.85 recency=11d | xPTS-REGRESION ↓ sobrerendimiento: 13pts vs 11.9xPTS → x0.986
america,juarez,1,2-0,0.7519448810532371,0.6386620372972034,0.22121979926306312,0.14011816343973382,2.0583140569014553,0.8714977232078844,ALTO,2-0:0.113|1-1:0.106|1-0:0.100|2-1:0.099|3-0:0.078,2-0:0.752|1-0:0.739|2-1:0.737|3-0:0.716|3-1:0.706,0.42520346414493526,7,0.998683909180049,PERPLEXITY | Alan Cervantes (Mediocampista) impact=High conf=0.93 recency=18d | PERPLEXITY | Dagoberto Espinoza (Mediocampista) impact=Mid conf=0.95 recency=16d | xPTS-REGRESION ↑ subrendimiento: 11pts vs 11.4xPTS → x1.005 | PERPLEXITY | Bryan Romero (Delantero) impact=Mid conf=0.85 recency=11d | xPTS-REGRESION ↑ subrendimiento: 7pts vs 9.4xPTS → x1.030 | RECENT FORM: 4pts (27%) -> 0.994 | MOMENTUM: ↑ acelerando (3pts/2 vs 1pts/3) -> 1.019
atlas,tijuana,1,2-1,0.6377007008950903,0.5390319825882655,0.25377000498512775,0.20719801242660682,1.7976640109577557,1.0408706608238762,ALTO,1-1:0.121|2-1:0.099|2-0:0.095|1-0:0.094|0-0:0.070,2-1:0.638|2-0:0.634|1-0:0.634|3-1:0.598|3-0:0.596,0.2631788874786617,6,0.997342642135314,xPTS-REGRESION ↑ subrendimiento: 13pts vs 13.3xPTS → x1.003 | LOCAL STRONGHOLD: 3V en 4J de local -> 1.040 | xPTS-REGRESION ↓ sobrerendimiento: 9pts vs 7.6xPTS → x0.972 | RECENT FORM: 4pts (27%) -> 0.994
guadalajara,leon,1,2-0,0.7782421068159836,0.6589661969513552,0.21473154756790036,0.12630225548074442,2.0947008030053897,0.8187558534157554,ALTO,2-0:0.119|1-0:0.105|1-1:0.103|2-1:0.098|3-0:0.083,2-0:0.778|1-0:0.764|2-1:0.757|3-0:0.742|3-1:0.727,0.46094351563369873,7,0.9985345938538853,MANUAL | Luis Romo (Mediocampista) impact=High conf=1.00 recency=0d | xPTS-REGRESION ↓ sobrerendimiento: 18pts vs 15.7xPTS → x0.978 | MOMENTUM: ↓ desacelerando (0pts/2 vs 9pts/3) -> 0.980 | LOCAL STRONGHOLD: 4V en 4J de local -> 1.040 | xPTS-REGRESION ↑ subrendimiento: 10pts vs 10.9xPTS → x1.012 | MOMENTUM: ↑ acelerando (6pts/2 vs 0pts/3) -> 1.020
