home_team_canonical,away_team_canonical,pick_1x2,pick_exact,ev,prob_home_win,prob_draw,prob_away_win,lambda_home_final,lambda_away_final,confidence_label,top_5_scorelines,top_5_ev,ev_confidence_gap,grid_max_goals,captured_mass,qualitative_notes
mazatlan,leon,N/A,N/A,0.4547008249035396,0.326810169284204,0.3075581337384516,0.36563169697734405,1.203180486917082,1.2854345989309761,SIN VENTAJA,1-1:0.147|0-0:0.101|0-1:0.089|1-2:0.083|1-0:0.082,0-1:0.455|1-1:0.454|1-2:0.448|0-2:0.434|1-0:0.409,0.00022571123584369523,5,0.9963727121252935,xPTS-REGRESION ↑ subrendimiento: 7pts vs 8.2xPTS → x1.022 | MOMENTUM: ↑ acelerando (4pts/2 vs 3pts/3) -> 1.017 | LOCAL CRISIS: 1V en 4J de local -> 0.920 | xPTS-REGRESION ↑ subrendimiento: 10pts vs 10.9xPTS → x1.012 | MOMENTUM: ↑ acelerando (6pts/2 vs 0pts/3) -> 1.020
necaxa,pumas,2,0-1,0.5865343332708554,0.23759063700495706,0.31233008861882633,0.4500792743762167,0.8675061443656729,1.2926807331649062,ALTO,1-1:0.143|0-1:0.136|0-0:0.129|0-2:0.097|1-0:0.087,0-1:0.587|0-2:0.547|1-2:0.534|0-3:0.492|1-3:0.486,0.13162198368217226,5,0.9975479548423956,xPTS-REGRESION ↓ sobrerendimiento: 9pts vs 8.5xPTS → x0.991 | MOMENTUM: ↓ desacelerando (0pts/2 vs 6pts/3) -> 0.980 | LOCAL CRISIS: 1V en 4J de local -> 0.920 | PERPLEXITY | José Juan Macías (Delantero) impact=High conf=0.99 recency=30d | xPTS-REGRESION ↓ sobrerendimiento: 16pts vs 11.1xPTS → x0.970 | RECENT FORM: 11pts (73%) -> 1.017
cruz azul,atletico de san luis,1,2-1,0.6917440904910652,0.5998429675096618,0.20441343428429756,0.1957435982060407,2.402096317841214,1.342332851240864,MEDIO,2-1:0.092|1-1:0.084|3-1:0.074|2-0:0.068|2-2:0.062,2-1:0.692|3-1:0.673|2-0:0.668|3-0:0.655|3-2:0.649,0.40316147903539146,7,0.9965642739115406,MANUAL | Kevin Mier (Portero titular colombiano) impact=High conf=1.00 recency=0d | MANUAL | Jesús Orozco (Defensa central) impact=High conf=1.00 recency=0d | CONTEXT | rotation_expected conf=0.75 Att-3.0% Def+3.0%: Calendiario brutal de Cruz Azul en marzo. Rotación parcial esperada para preserv | xPTS-REGRESION ↓ sobrerendimiento: 19pts vs 15.6xPTS → x0.970 | RECENT FORM: 13pts (87%) -> 1.033 | MOMENTUM: ↑ acelerando (6pts/2 vs 7pts/3) -> 1.011 | LOCAL STRONGHOLD: 4V en 4J de local -> 1.040 | [BAJA-CAP: impacto=0.42 > 0.25 → rebajado a MEDIO] | PERPLEXITY | César Iván López (Defensa) impact=Mid conf=0.88 recency=18d | xPTS-REGRESION ↑ subrendimiento: 7pts vs 11.7xPTS → x1.030 | RECENT FORM: 3pts (20%) -> 0.983 | MOMENTUM: ↓ desacelerando (0pts/2 vs 3pts/3) -> 0.983
queretaro,america,2,0-1,0.6657157411128195,0.1819793859070214,0.3377106082748672,0.4803100058181113,0.6112761815179164,1.1643756977921702,ALTO,0-1:0.185|0-0:0.182|1-1:0.133|0-2:0.115|1-0:0.092,0-1:0.666|0-2:0.595|1-2:0.551|0-3:0.525|0-0:0.519,0.14633476139556034,5,0.9986670455587485,xPTS-REGRESION ↑ subrendimiento: 6pts vs 10.5xPTS → x1.030 | MOMENTUM: ↓ desacelerando (1pts/2 vs 4pts/3) -> 0.986 | LOCAL CRISIS: 1V en 4J de local -> 0.920 | PERPLEXITY | Víctor Dávila (Delantero) impact=High conf=0.95 recency=1d | PERPLEXITY | Dagoberto Espinoza (Mediocampista) impact=Mid conf=0.95 recency=23d | CONTEXT | motivation_crisis conf=0.70 Att-3.5% Def+3.5%: Crisis combinada: resultado adverso + lesión grave de figura atacante. El equipo | xPTS-REGRESION ↑ subrendimiento: 11pts vs 12.4xPTS → x1.017
atlas,guadalajara,2,0-1,0.5159583029396348,0.2895317278413174,0.30935260655552416,0.4011156656031584,1.029741258570821,1.2574623313957896,MEDIO,1-1:0.145|0-0:0.115|0-1:0.115|1-0:0.092|1-2:0.083,0-1:0.516|1-2:0.484|0-2:0.482|1-1:0.454|1-3:0.436,0.06158867307517579,5,0.9974173048742545,CONTEXT | squad_fatigue conf=0.70 Att-2.1% Def+2.1%: Fatiga leve por calendario comprimido. Diego Cocca debe gestionar el desgaste de | xPTS-REGRESION ↑ subrendimiento: 13pts vs 14.2xPTS → x1.013 | LOCAL STRONGHOLD: 3V en 4J de local -> 1.040 | MANUAL | Luis Romo (Mediocampista central) impact=High conf=1.00 recency=0d | CONTEXT | motivation_boost conf=0.75 Att+2.2% Def-2.2%: Extra descanso por bye en jornada doble + motivación de clasico como catalizador | xPTS-REGRESION ↓ sobrerendimiento: 18pts vs 15.7xPTS → x0.978 | MOMENTUM: ↓ desacelerando (0pts/2 vs 9pts/3) -> 0.980
pachuca,puebla,N/A,N/A,0.5261432273959331,0.396961014599946,0.323626256350886,0.27941272904916814,1.1682902979720127,0.9371213291822288,SIN VENTAJA,1-1:0.147|0-0:0.135|1-0:0.129|0-1:0.101|2-0:0.083,1-0:0.526|2-0:0.480|2-1:0.475|1-1:0.471|0-0:0.459,0.05558203735000211,5,0.9982643567770956,MANUAL | Alan Mozo (Defensa lateral derecho - refuerzo del Clausura 2026) impact=High conf=1.00 recency=0d | PERPLEXITY | Andrés Micolta (Defensa) impact=Mid conf=0.90 recency=18d | xPTS-REGRESION ↓ sobrerendimiento: 14pts vs 12.5xPTS → x0.982 | RECENT FORM: 10pts (67%) -> 1.008 | MOMENTUM: ↓ desacelerando (3pts/2 vs 7pts/3) -> 0.986 | LOCAL STRONGHOLD: 3V en 4J de local -> 1.040 | PERPLEXITY | Lucas Cavallini (Delantero) impact=Mid conf=0.85 recency=18d | xPTS-REGRESION ↑ subrendimiento: 8pts vs 9.8xPTS → x1.028 | MOMENTUM: ↑ acelerando (3pts/2 vs 2pts/3) -> 1.014
tigres,monterrey,1,2-0,0.6710954133924351,0.5663237979159583,0.25734424650391163,0.17633195558012976,1.8332637787817552,0.9446592555621314,MEDIO,1-1:0.123|2-0:0.105|1-0:0.099|2-1:0.099|0-0:0.077,2-0:0.671|1-0:0.666|2-1:0.665|3-0:0.630|3-1:0.627,0.29065948279466614,6,0.9971021085920498,MANUAL | Fernando Gorriarán (Mediocampista central) impact=Mid conf=1.00 recency=0d | PERPLEXITY | Marco Farfan (Defensa) impact=Mid conf=0.80 recency=18d | xPTS-REGRESION ↑ subrendimiento: 13pts vs 13.4xPTS → x1.004 | LOCAL CRISIS: 1V en 4J de local -> 0.920 | [BAJA-CAP: impacto=0.32 > 0.25 → rebajado a MEDIO] | TABLA-EQUILIBRIO: tigres(13pts) vs monterrey(10pts) → DC-ρ=-0.14 | MANUAL | Óliver Torres (Mediocampista) impact=High conf=1.00 recency=0d | MANUAL | Anthony Martial (Delantero) impact=High conf=1.00 recency=0d | PERPLEXITY | Luis Sánchez (Mediocampista) impact=Mid conf=0.88 recency=23d | CONTEXT | motivation_boost conf=0.70 Att+2.1% Def-2.1%: Nuevo técnico Nicolás Sánchez con impulso tras goleada 4-0. Clásico Regio como e | xPTS-REGRESION ↑ subrendimiento: 10pts vs 14.9xPTS → x1.030 | RECENT FORM: 4pts (27%) -> 0.994 | MOMENTUM: ↓ desacelerando (0pts/2 vs 4pts/3) -> 0.980
toluca,juarez,1,3-1,0.9394864232059641,0.8674836254748889,0.084296815545442,0.04821955897966878,4.0,1.0457973038303432,ALTO,3-1:0.072|4-1:0.072|3-0:0.069|4-0:0.069|5-1:0.058,3-1:0.939|4-1:0.939|3-0:0.936|4-0:0.936|5-1:0.925,0.8254884535964535,10,0.9971602181522532,xPTS-REGRESION ↑ subrendimiento: 18pts vs 19.7xPTS → x1.013 | RECENT FORM: 11pts (73%) -> 1.017 | MOMENTUM: ↑ acelerando (6pts/2 vs 5pts/3) -> 1.020 | LOCAL STRONGHOLD: 3V en 4J de local -> 1.040 | PERPLEXITY | Bryan Romero (Delantero) impact=Mid conf=0.80 recency=18d | xPTS-REGRESION ↑ subrendimiento: 7pts vs 11.2xPTS → x1.030 | RECENT FORM: 4pts (27%) -> 0.994 | MOMENTUM: ↑ acelerando (3pts/2 vs 1pts/3) -> 1.019
tijuana,santos laguna,1,1-0,0.7249605629451199,0.5871889670960683,0.26113428159291446,0.151676751311017,1.6840119362677342,0.7438247554125745,ALTO,1-0:0.138|2-0:0.125|1-1:0.122|0-0:0.099|2-1:0.093,1-0:0.725|2-0:0.713|2-1:0.680|3-0:0.658|3-1:0.640,0.34204194498750695,6,0.998207817401702,xPTS-REGRESION ↑ subrendimiento: 9pts vs 9.5xPTS → x1.008 | RECENT FORM: 4pts (27%) -> 0.994 | LOCAL CRISIS: 0V en 4J de local -> 0.920 | MANUAL | Anthony Lozano (Delantero) impact=High conf=1.00 recency=0d | xPTS-REGRESION ↑ subrendimiento: 2pts vs 8.8xPTS → x1.030 | RECENT FORM: 1pts (7%) -> 0.961
