home_team_canonical,away_team_canonical,pick_1x2,pick_exact,ev,prob_home_win,prob_draw,prob_away_win,lambda_home_final,lambda_away_final,confidence_label,top_5_scorelines,top_5_ev,ev_confidence_gap,grid_max_goals,captured_mass,qualitative_notes
tigres,pachuca,1,2-1,0.7750297962339312,0.6782734071141369,0.1788430687044259,0.14288352418143696,2.378709172023087,1.00069232261247,ALTO,2-1:0.097|2-0:0.097|1-1:0.081|1-0:0.081|3-1:0.077,2-1:0.775|2-0:0.775|1-0:0.760|3-1:0.755|3-0:0.755,0.514834715053341,7,0.9968233277538132,PERPLEXITY | Marco Farfan (Defensa) impact=Mid conf=0.85 recency=5d | PERPLEXITY | Andrés Micolta (Defensa) impact=Mid conf=0.90 recency=15d | PERPLEXITY | Alan Mozo (Defensa) impact=High conf=0.95 recency=15d | PERPLEXITY | Elías Montiel (Mediocampista) impact=Mid conf=0.65 recency=15d | RECENT FORM: 11pts (73%) -> 1.017
puebla,america,2,0-1,0.7574888110174436,0.15802927963701774,0.2544065522618868,0.5875641681010957,0.6617338296596409,1.5501264013501044,ALTO,0-1:0.170|0-2:0.132|1-1:0.112|0-0:0.110|1-2:0.087,0-1:0.757|0-2:0.719|1-2:0.675|0-3:0.656|1-3:0.633,0.3906373740449749,6,0.9988770939567456,PERPLEXITY | Lucas Cavallini (Delantero) impact=High conf=0.90 recency=10d | PERPLEXITY | Alejandro Zendejas (Mediocampista) impact=High conf=0.70 recency=4d | PERPLEXITY | Dagoberto Espinoza (Defensa) impact=Mid conf=0.90 recency=10d | PERPLEXITY | Alan Cervantes (Mediocampista) impact=Mid conf=0.80 recency=4d
atlas,atletico de san luis,1,2-1,0.5546011372474655,0.4612794996321316,0.24367535671766677,0.29504514365020135,1.6349756308373498,1.258988445499653,ALTO,1-1:0.114|2-1:0.093|1-0:0.091|2-0:0.074|1-2:0.072,2-1:0.555|1-0:0.552|2-0:0.535|3-1:0.512|3-0:0.502,0.18769506719762208,6,0.998158101681952,PERPLEXITY | Jesús Serrato (Defensa) impact=Mid conf=0.70 recency=10d | PERPLEXITY | Óscar Macías (Mediocampista) impact=Mid conf=0.65 recency=10d | PERPLEXITY | Cesar Ivan Lopez (Defensa) impact=Mid conf=0.90 recency=10d
leon,santos laguna,1,1-0,0.637273173679847,0.48386804034898767,0.2825615552923781,0.23357040435863421,1.3345957727712976,0.8314721274033438,ALTO,1-0:0.153|1-1:0.128|0-0:0.115|2-0:0.102|0-1:0.096,1-0:0.637|2-0:0.586|2-1:0.569|3-0:0.529|3-1:0.522,0.22715952582226573,5,0.9972373040964745,PERPLEXITY | Ismael Díaz (Delantero) impact=Mid conf=0.75 recency=4d | RECENT FORM: 1pts (7%) -> 0.961 | PERPLEXITY | Anthony Lozano (Delantero) impact=High conf=0.95 recency=10d | RECENT FORM: 1pts (7%) -> 0.961
necaxa,toluca,2,0-1,0.6141584322306342,0.24422772775837842,0.31591334105749486,0.4398589311841268,0.742640534103662,1.1082654912184082,ALTO,0-1:0.174|0-0:0.157|1-1:0.129|1-0:0.117|0-2:0.097,0-1:0.614|0-2:0.536|1-2:0.512|0-3:0.476|0-0:0.473,0.1409727566760276,5,0.9988709742166791,PERPLEXITY | Ernesto Alexis Vega (Delantero) impact=High conf=0.92 recency=5d | PERPLEXITY | Nicolás Castro (Mediocampista) impact=High conf=0.80 recency=9d
cruz azul,guadalajara,1,1-0,0.5535287410287532,0.4287360582671177,0.276704478639226,0.29455946309365627,1.3200842609371688,1.0418544476387928,ALTO,1-1:0.130|1-0:0.125|0-1:0.098|0-0:0.095|2-1:0.086,1-0:0.554|2-1:0.515|2-0:0.511|3-1:0.466|3-0:0.465,0.14680845082154037,5,0.9968632464351682,PERPLEXITY | Kevin Mier (Portero) impact=High conf=0.98 recency=3d | PERPLEXITY | Jesús Orozco Chiquete (Defensa) impact=Mid conf=0.98 recency=3d | RECENT FORM: 13pts (87%) -> 1.033 | PERPLEXITY | Gilberto Sepúlveda (Defensa) impact=High conf=0.88 recency=5d | MANUAL | Armando González (Delantero - 4 goles en torneo) impact=Mid conf=1.00 recency=0d | PERPLEXITY | Luis Romo (Mediocampista) impact=High conf=0.92 recency=3d | RECENT FORM: 15pts (100%) -> 1.050
tijuana,mazatlan,1,1-0,0.7794665372352507,0.5887289151545021,0.26553263610186495,0.14573844874363265,1.4681291392751126,0.5767780954553884,ALTO,1-0:0.191|2-0:0.140|0-0:0.130|1-1:0.110|2-1:0.081,1-0:0.779|2-0:0.729|2-1:0.669|3-0:0.657|3-1:0.628,0.38401506975937927,5,0.9959464009476255,PERPLEXITY | Gilberto Mora (Mediocampista) impact=Mid conf=0.65 recency=10d
pumas,monterrey,N/A,N/A,0.5266236729329208,0.311667734879678,0.3023627440826202,0.38596952103770193,0.9579862379348582,1.1025088324454149,SIN VENTAJA,0-1:0.141|1-1:0.135|0-0:0.128|1-0:0.122|0-2:0.078,0-1:0.527|0-2:0.464|1-2:0.460|1-1:0.437|1-0:0.434,0.08951618702628172,5,0.9985455530910888,PERPLEXITY | Pablo Bennevendo (Defensa) impact=Mid conf=0.65 recency=10d | PERPLEXITY | Santiago Trigos (Mediocampista) impact=Mid conf=0.85 recency=10d | PERPLEXITY | Adalberto Carrasquilla (Mediocampista) impact=High conf=0.75 recency=10d | PERPLEXITY | José Juan Macías (Delantero) impact=Mid conf=0.95 recency=10d | RECENT FORM: 11pts (73%) -> 1.017 | PERPLEXITY | Carlos Salcedo (Defensa) impact=High conf=0.70 recency=11d | PERPLEXITY | Víctor Guzmán (Mediocampista) impact=High conf=0.65 recency=11d | RECENT FORM: 10pts (67%) -> 1.008
queretaro,juarez,N/A,N/A,0.5427998343430196,0.2991650185696557,0.3029926083638835,0.39784237306646036,0.9263327911316859,1.1177464073629095,SIN VENTAJA,0-1:0.145|1-1:0.134|0-0:0.130|1-0:0.120|0-2:0.081,0-1:0.543|0-2:0.479|1-2:0.473|1-1:0.437|0-0:0.433,0.10552837627945771,5,0.9985513239187885,RECENT FORM: 4pts (27%) -> 0.994 | PERPLEXITY | Madson (Delantero) impact=Mid conf=0.60 recency=17d | RECENT FORM: 1pts (7%) -> 0.961
